"","date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"357",2020-10-25,"LA","A",5837,5631,17,206,NA,NA,596,0,NA,NA,2513932,25297,NA,NA,NA,NA,66,183575,179842,972,0,NA,NA,NA,NA,NA,165282,NA,0,2697507,26269,NA,NA,NA,NA,2693774,26269,NA,0
"358",2020-10-25,"MA","A+",9864,9640,25,224,13142,13142,538,16,NA,109,2485042,15923,NA,NA,NA,NA,45,150565,147120,1077,0,NA,NA,NA,NA,191267,122856,NA,0,5668015,82846,NA,NA,125829,174264,2632162,17020,5668015,82846
"359",2020-10-25,"MD","A",4096,3950,5,146,16757,16757,446,52,NA,103,1738650,11210,NA,131954,NA,NA,NA,140279,140279,792,0,NA,NA,13261,NA,169003,8064,NA,0,3266149,31865,NA,NA,145215,NA,1878929,12002,3266149,31865
"360",2020-10-25,"ME","A+",146,145,0,1,475,475,8,2,NA,0,568188,0,10065,NA,566501,NA,0,6201,5521,64,0,348,NA,NA,NA,6797,5334,NA,0,574389,64,10425,NA,NA,NA,NA,0,573630,0
"361",2020-10-25,"MI","A+",7522,7182,0,340,NA,NA,1182,0,NA,273,4404379,0,NA,NA,4404379,NA,121,175612,158026,0,0,NA,NA,NA,NA,214183,114939,NA,0,4579991,0,321825,NA,NA,NA,NA,0,4618562,0
"362",2020-10-25,"MN","A",2349,2335,21,14,9511,9511,584,67,2538,163,1636931,24938,NA,NA,NA,NA,NA,133802,133431,1680,0,NA,NA,NA,NA,NA,118485,2660323,34933,2660323,34933,NA,25979,NA,NA,1770362,26616,NA,0
"363",2020-10-25,"MO","A+",2805,NA,4,NA,NA,NA,1404,0,NA,484,1289345,6782,80812,71709,2208498,NA,167,169495,169495,2043,0,5289,5928,3618,NA,193832,NA,NA,0,2406847,18566,86301,30609,82459,23325,1458840,8825,2406847,18566
"364",2020-10-25,"MP","D",2,2,0,NA,4,4,NA,0,NA,NA,15723,0,NA,NA,NA,NA,NA,88,88,0,0,NA,NA,NA,NA,NA,29,NA,0,15811,0,NA,NA,NA,NA,15811,0,22212,0
"365",2020-10-25,"MS","A+",3255,2944,0,311,6380,6380,683,0,NA,154,729544,0,NA,NA,NA,NA,65,115088,101683,0,0,95,NA,NA,NA,NA,97675,NA,0,844632,0,41053,72982,NA,NA,NA,0,827497,0
"366",2020-10-25,"MT","C",297,NA,3,NA,1229,1229,357,49,NA,NA,437727,837,NA,NA,NA,NA,NA,27880,27880,738,0,NA,NA,NA,NA,NA,17832,NA,0,465607,1575,NA,NA,NA,NA,NA,0,465607,1575
"367",2020-10-25,"NC","A+",4157,4097,13,60,NA,NA,1148,0,NA,321,3584354,33569,NA,NA,NA,NA,NA,260099,250332,1807,0,NA,NA,NA,NA,NA,218541,NA,0,3844453,35376,NA,22622,NA,NA,NA,0,3834686,35281
"368",2020-10-25,"ND","B",345,340,0,5,1417,1417,272,12,291,37,245691,897,10047,NA,NA,NA,NA,37719,37719,845,0,627,NA,NA,NA,NA,30757,784157,8371,784157,8371,10674,NA,NA,NA,283394,1726,815909,8856
"369",2020-10-25,"NE","A",595,NA,4,NA,2833,2833,436,16,NA,NA,504211,2446,NA,NA,792969,NA,NA,63215,63215,705,0,NA,NA,NA,NA,75000,41364,NA,0,869163,6283,NA,NA,NA,NA,567744,3155,869163,6283
"370",2020-10-25,"NH","B",473,NA,0,NA,766,766,23,1,246,NA,321233,2414,NA,NA,NA,NA,NA,10328,10328,90,0,NA,NA,NA,NA,NA,8823,NA,0,579186,4999,32840,NA,31995,NA,331561,2504,579186,4999
"371",2020-10-25,"NJ","B",16285,14496,4,1789,37287,37287,868,25,NA,164,4157414,44859,NA,NA,NA,NA,72,228468,228468,1129,0,NA,NA,NA,NA,NA,36477,NA,0,4385882,45988,NA,NA,NA,NA,NA,0,4385882,47897
"372",2020-10-25,"NM","B",967,NA,2,NA,4277,4277,287,38,NA,NA,1076981,8926,NA,NA,NA,NA,NA,41863,41863,823,0,NA,NA,NA,NA,NA,20837,NA,0,1118844,9749,NA,NA,NA,NA,NA,0,1118844,9749
"373",2020-10-25,"NV","A+",1748,NA,5,NA,NA,NA,493,0,NA,134,692166,3271,NA,NA,NA,NA,51,95703,95703,891,0,NA,NA,NA,NA,NA,NA,1204746,8635,1204746,8635,NA,NA,NA,NA,787869,4162,1154583,0
"374",2020-10-25,"NY","B",25730,NA,12,NA,89995,89995,1015,0,NA,227,13256659,119198,NA,NA,NA,NA,118,495464,495464,1632,0,NA,NA,NA,NA,NA,79092,13752123,120830,13752123,120830,NA,NA,NA,NA,NA,0,NA,0
"375",2020-10-25,"OH","A+",5206,4896,0,310,18095,18095,1338,89,3714,377,4001342,47379,NA,NA,NA,NA,195,198115,186703,2309,0,NA,NA,NA,NA,NA,158836,NA,0,4199457,49688,NA,NA,NA,NA,NA,0,4188045,49554
"376",2020-10-25,"OK","A+",1249,NA,4,NA,8386,8386,924,26,NA,305,1417024,0,NA,NA,1417024,NA,NA,116736,116736,1051,0,4814,NA,NA,NA,127051,99541,NA,0,1533760,1051,87553,NA,NA,NA,NA,0,1546238,0
"377",2020-10-25,"OR","A+",653,NA,0,NA,3034,3034,197,0,NA,53,783149,3746,NA,NA,783149,NA,21,42101,39261,362,0,NA,NA,NA,NA,NA,5870,NA,0,825250,4108,NA,NA,NA,NA,813114,0,NA,0
"378",2020-10-25,"PA","A+",8666,NA,12,NA,NA,NA,1104,0,NA,NA,2229977,14920,NA,NA,NA,NA,115,194288,185866,1666,0,NA,NA,NA,NA,NA,150245,NA,0,2424265,16586,NA,NA,NA,NA,2415843,16487,3795139,0
"379",2020-10-25,"PR","B",801,610,7,191,NA,NA,370,0,NA,60,305972,0,NA,NA,303412,NA,46,31737,31737,665,0,30766,NA,NA,NA,7002,27348,NA,0,337709,665,NA,NA,NA,NA,NA,0,310546,0
"380",2020-10-25,"RI","A+",1183,NA,0,NA,3208,3208,163,11,NA,14,387563,2071,NA,NA,1021837,NA,8,30857,30857,274,0,NA,NA,NA,NA,41380,2658,1063217,9963,1063217,9963,NA,NA,NA,NA,418420,2345,NA,0
"381",2020-10-25,"SC","A+",3802,3567,9,235,10224,10224,725,12,NA,206,1535736,25993,70079,NA,1485359,NA,95,170678,163143,1337,0,8587,15305,NA,NA,213520,86524,NA,0,1706414,27330,78666,98080,NA,NA,NA,0,1698879,27300
"382",2020-10-25,"SD","A",375,NA,9,NA,2436,2436,366,58,NA,NA,206727,1188,NA,NA,NA,NA,NA,39203,37979,1062,0,NA,NA,NA,NA,NA,28083,NA,0,245930,2250,NA,NA,NA,NA,245930,2250,401913,4639
"383",2020-10-25,"TN","A+",3131,2971,31,160,9941,9941,1094,15,NA,343,3299149,38096,NA,NA,3250692,NA,138,247587,234320,3500,0,NA,12439,NA,NA,282777,218067,NA,0,3546736,41596,NA,93656,NA,NA,NA,0,3533469,41245
"384",2020-10-25,"TX","A",17504,NA,48,NA,NA,NA,5206,0,NA,1550,6899867,47743,NA,NA,NA,NA,NA,862375,862375,4304,0,44745,23909,NA,NA,NA,755095,NA,0,7762242,52047,466962,277981,NA,NA,NA,0,7762242,52047
"385",2020-10-25,"UT","A+",572,NA,4,NA,5049,5049,313,52,1067,120,896357,6740,NA,NA,1218009,419,NA,104882,104882,1765,0,NA,4370,NA,4174,111451,77145,NA,0,1329460,11115,NA,74457,NA,34343,997168,8022,1329460,11115
"386",2020-10-25,"VA","A+",3579,3329,1,250,20499,20499,979,65,NA,216,2348445,20271,NA,NA,NA,NA,109,173371,161668,999,0,NA,NA,NA,NA,192590,19520,2510113,21096,2510113,21096,NA,NA,NA,NA,NA,0,NA,0
"387",2020-10-25,"VI","D",21,21,0,NA,NA,NA,NA,0,NA,NA,22089,0,NA,NA,NA,NA,NA,1346,NA,0,0,NA,NA,NA,NA,NA,1305,NA,0,23435,0,NA,NA,NA,NA,NA,0,23463,0
"388",2020-10-25,"VT","B",58,58,0,NA,NA,NA,3,0,NA,NA,183534,907,NA,NA,NA,NA,NA,2073,2073,30,0,NA,NA,NA,NA,NA,1733,NA,0,388466,6591,NA,NA,NA,NA,185607,937,388466,6591
"389",2020-10-25,"WA","B",2296,2296,0,NA,8280,8280,308,49,NA,NA,2257474,39888,NA,NA,NA,NA,43,102913,102913,1568,0,NA,NA,NA,NA,NA,NA,2360387,41456,2360387,41456,NA,NA,NA,NA,NA,0,NA,0
"390",2020-10-25,"WI","A+",1813,1778,10,35,10332,10332,1293,95,1412,320,1768026,10396,NA,NA,NA,NA,NA,208917,198166,3778,0,NA,NA,NA,NA,NA,155814,3075804,29127,3075804,29127,NA,NA,NA,NA,1966192,14022,NA,0
"391",2020-10-25,"WV","B",423,419,1,4,NA,NA,214,0,NA,75,701301,7323,NA,NA,NA,NA,24,21906,20567,194,0,NA,NA,NA,NA,NA,16654,NA,0,723207,7517,18874,NA,NA,NA,NA,0,721868,7463
"392",2020-10-25,"WY","B",68,NA,0,NA,394,394,95,2,NA,NA,113686,0,NA,NA,247531,NA,NA,11041,9396,236,0,NA,NA,NA,NA,11873,7525,NA,0,259404,594,NA,NA,NA,NA,122604,0,259404,594
"393",2020-10-24,"AK","A",68,68,0,NA,419,419,58,4,NA,NA,540223,-356,NA,NA,540786,NA,8,12523,NA,356,0,NA,NA,NA,NA,11644,6939,NA,0,552746,0,NA,NA,NA,NA,NA,0,552746,0
"394",2020-10-24,"AL","A",2866,2680,7,186,19595,19595,920,0,2021,NA,1138922,5064,NA,NA,NA,1157,NA,183276,156946,2360,0,NA,NA,NA,NA,NA,74439,NA,0,1295868,6095,NA,NA,63359,NA,NA,0,1295868,6095
"395",2020-10-24,"AR","A+",1797,1640,15,157,6707,6707,606,29,NA,242,1181805,11643,NA,NA,1181805,808,94,105318,98213,1183,0,NA,3300,NA,7891,NA,93977,NA,0,1280018,12517,NA,21856,NA,46505,NA,0,1280018,12517
"396",2020-10-24,"AS","D",0,NA,0,NA,NA,NA,NA,0,NA,NA,1616,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1616,0,NA,NA,NA,NA,NA,0,1616,0
"397",2020-10-24,"AZ","A+",5869,5581,4,288,21043,21043,819,76,NA,191,1462194,11213,NA,NA,NA,NA,87,236772,231355,890,0,NA,NA,NA,NA,NA,39525,NA,0,1693549,12080,312232,NA,NA,NA,1693549,12080,NA,0
"398",2020-10-24,"CA","B",17311,NA,49,NA,NA,NA,3007,0,NA,744,16716369,119941,NA,NA,NA,NA,NA,892810,892810,5945,0,NA,NA,NA,NA,NA,NA,NA,0,17609179,125886,NA,NA,NA,NA,NA,0,17609179,125886
"399",2020-10-24,"CO","A",2076,NA,0,NA,8598,8598,599,41,NA,NA,1050755,11426,167199,NA,NA,NA,NA,93400,86815,1828,0,12853,NA,NA,NA,NA,7513,1818196,27792,1818196,27792,180052,NA,NA,NA,1137570,13161,NA,0
"400",2020-10-24,"CT","B",4577,3674,0,903,12257,12257,233,0,NA,NA,2049692,0,NA,NA,NA,NA,NA,66052,63376,0,0,NA,NA,NA,NA,NA,9800,NA,0,2115744,0,NA,NA,NA,NA,NA,0,2113068,0
"401",2020-10-24,"DC","A+",642,NA,0,NA,NA,NA,93,0,NA,21,474847,5703,NA,NA,NA,NA,6,16706,NA,97,0,NA,NA,NA,NA,NA,13068,491553,5800,491553,5800,NA,NA,NA,NA,248189,1562,NA,0
"402",2020-10-24,"DE","A+",680,599,2,81,NA,NA,103,0,NA,22,313429,2004,NA,NA,NA,NA,NA,23847,22724,160,0,NA,NA,NA,NA,26003,12610,528430,5276,528430,5276,NA,NA,NA,NA,337276,2164,NA,0
"403",2020-10-24,"FL","A",16620,16620,76,NA,48684,48684,2162,174,NA,NA,5161810,67838,487730,475588,7575340,NA,NA,766305,737835,4381,0,51923,NA,50676,NA,998106,NA,9532175,120483,9532175,120483,539844,NA,526404,NA,5922634,72244,8618680,96036
"404",2020-10-24,"GA","A",7808,NA,42,NA,31046,31046,1684,97,5822,NA,3076505,16641,NA,NA,3099220,NA,NA,349605,349605,1846,0,28865,NA,NA,NA,326890,NA,NA,0,3426110,18487,324963,NA,NA,NA,NA,0,3426110,18487
"405",2020-10-24,"GU","A",71,NA,2,NA,NA,NA,77,0,NA,17,59065,300,NA,NA,NA,NA,6,4175,4155,34,0,6,20,NA,NA,NA,2503,NA,0,63240,334,203,290,NA,NA,NA,0,62614,0
"406",2020-10-24,"HI","B",209,NA,3,NA,1057,1057,71,12,NA,18,295153,0,NA,NA,NA,NA,11,14669,14464,140,0,NA,NA,NA,NA,14409,11292,496293,4843,496293,4843,NA,NA,NA,NA,308090,0,NA,0
"407",2020-10-24,"IA","A+",1631,NA,11,NA,NA,NA,545,0,NA,130,750905,4830,NA,61848,NA,NA,49,108514,108514,1640,0,NA,NA,3766,6117,NA,87463,NA,0,859419,6470,NA,NA,65653,71378,861067,6468,NA,0
"408",2020-10-24,"ID","A",562,518,9,44,2387,2387,259,24,527,66,315145,2078,NA,NA,NA,NA,NA,57673,50902,1073,0,NA,NA,NA,NA,NA,27509,NA,0,366047,2999,NA,NA,NA,NA,366047,2999,492461,4565
"409",2020-10-24,"IL","A",9751,9481,63,270,NA,NA,2616,0,NA,560,6826661,77356,NA,NA,NA,NA,222,374907,370194,6161,0,NA,NA,NA,NA,NA,NA,NA,0,7201568,83517,NA,NA,NA,NA,NA,0,7196855,83517
"410",2020-10-24,"IN","A+",4118,3882,26,236,15627,15627,1685,129,3066,481,1457877,9994,NA,NA,NA,NA,152,160454,NA,2741,0,NA,NA,NA,NA,155443,113498,NA,0,2681197,38675,NA,NA,NA,NA,1618331,12735,2681197,38675
"411",2020-10-24,"KS","A+",975,NA,0,NA,3584,3584,403,0,1001,2,540032,0,NA,NA,NA,309,41,76230,NA,0,0,NA,NA,NA,NA,NA,2518,NA,0,616262,0,NA,NA,NA,NA,616262,0,NA,0
"412",2020-10-24,"KY","B",1404,1385,8,19,6865,6865,840,49,1681,208,1704451,20995,NA,NA,NA,NA,NA,95480,80735,1732,0,NA,NA,NA,NA,NA,17723,NA,0,1785186,22455,82256,43446,NA,NA,NA,0,1785186,22455
"413",2020-10-24,"LA","A",5820,5614,0,206,NA,NA,620,0,NA,NA,2488635,0,NA,NA,NA,NA,65,182603,178870,0,0,NA,NA,NA,NA,NA,165282,NA,0,2671238,0,NA,NA,NA,NA,2667505,0,NA,0
"414",2020-10-24,"MA","A+",9839,9616,9,223,13126,13126,551,20,NA,114,2469119,18040,NA,NA,NA,NA,45,149488,146023,1203,0,NA,NA,NA,NA,189918,122856,NA,0,5585169,70021,NA,NA,125639,173868,2615142,19168,5585169,70021
"415",2020-10-24,"MD","A",4091,3945,13,146,16705,16705,455,55,NA,109,1727440,10837,NA,131954,NA,NA,NA,139487,139487,796,0,NA,NA,13261,NA,168014,8055,NA,0,3234284,32510,NA,NA,145215,NA,1866927,11633,3234284,32510
"416",2020-10-24,"ME","A+",146,145,0,1,473,473,8,0,NA,0,568188,0,10065,NA,566501,NA,0,6137,5475,42,0,348,NA,NA,NA,6797,5317,NA,0,574325,42,10425,NA,NA,NA,NA,0,573630,0
"417",2020-10-24,"MI","A+",7522,7182,38,340,NA,NA,1182,0,NA,273,4404379,50615,NA,NA,4404379,NA,121,175612,158026,3490,0,NA,NA,NA,NA,214183,114939,NA,0,4579991,54105,321825,NA,NA,NA,NA,0,4618562,53493
"418",2020-10-24,"MN","A",2328,2316,14,12,9444,9444,584,106,2533,163,1611993,7611,NA,NA,NA,NA,NA,132122,131753,2259,0,NA,NA,NA,NA,NA,116693,2625390,34465,2625390,34465,NA,24238,NA,NA,1743746,9853,NA,0
"419",2020-10-24,"MO","A+",2801,NA,113,NA,NA,NA,1443,0,NA,522,1282563,7781,80547,71709,2192171,NA,175,167452,167452,2918,0,5231,5820,3618,NA,191640,NA,NA,0,2388281,24470,85977,29938,82171,22821,1450015,10699,2388281,24470
"420",2020-10-24,"MP","D",2,2,0,NA,4,4,NA,0,NA,NA,15723,0,NA,NA,NA,NA,NA,88,88,0,0,NA,NA,NA,NA,NA,29,NA,0,15811,0,NA,NA,NA,NA,15811,0,22212,0
"421",2020-10-24,"MS","A+",3255,2944,17,311,6380,6380,683,0,NA,154,729544,0,NA,NA,NA,NA,65,115088,101683,1212,0,95,NA,NA,NA,NA,97675,NA,0,844632,1212,41053,72982,NA,NA,NA,0,827497,0
"422",2020-10-24,"MT","C",294,NA,12,NA,1180,1180,348,10,NA,NA,436890,2393,NA,NA,NA,NA,NA,27142,27142,639,0,NA,NA,NA,NA,NA,17436,NA,0,464032,3032,NA,NA,NA,NA,NA,0,464032,3032
"423",2020-10-24,"NC","A+",4144,4085,30,59,NA,NA,1182,0,NA,338,3550785,43178,NA,NA,NA,NA,NA,258292,248620,2584,0,NA,NA,NA,NA,NA,218541,NA,0,3809077,45762,NA,21790,NA,NA,NA,0,3799405,45452
"424",2020-10-24,"ND","B",345,340,0,5,1405,1405,278,17,287,41,244794,1031,10039,NA,NA,NA,NA,36874,36874,935,0,621,NA,NA,NA,NA,30116,775786,7377,775786,7377,10660,NA,NA,NA,281668,1966,807053,7748
"425",2020-10-24,"NE","A",591,NA,4,NA,2817,2817,426,34,NA,NA,501765,3742,NA,NA,787484,NA,NA,62510,62510,1225,0,NA,NA,NA,NA,74213,41008,NA,0,862880,15611,NA,NA,NA,NA,564589,4964,862880,15611
"426",2020-10-24,"NH","B",473,NA,2,NA,765,765,19,0,246,NA,318819,2780,NA,NA,NA,NA,NA,10238,10238,126,0,NA,NA,NA,NA,NA,8819,NA,0,574187,6592,32801,NA,31958,NA,329057,2906,574187,6592
"427",2020-10-24,"NJ","B",16281,14492,8,1789,37262,37262,886,40,NA,171,4112555,0,NA,NA,NA,NA,72,227339,227339,1909,0,NA,NA,NA,NA,NA,36379,NA,0,4339894,1909,NA,NA,NA,NA,NA,0,4337985,0
"428",2020-10-24,"NM","B",965,NA,5,NA,4239,4239,264,70,NA,NA,1068055,8739,NA,NA,NA,NA,NA,41040,41040,872,0,NA,NA,NA,NA,NA,20765,NA,0,1109095,9611,NA,NA,NA,NA,NA,0,1109095,9611
"429",2020-10-24,"NV","A+",1743,NA,5,NA,NA,NA,493,0,NA,134,688895,1914,NA,NA,NA,NA,51,94812,94812,1146,0,NA,NA,NA,NA,NA,NA,1196111,11042,1196111,11042,NA,NA,NA,NA,783707,3060,1154583,0
"430",2020-10-24,"NY","B",25718,NA,13,NA,89995,89995,1045,0,NA,231,13137461,154879,NA,NA,NA,NA,113,493832,493832,2061,0,NA,NA,NA,NA,NA,78960,13631293,156940,13631293,156940,NA,NA,NA,NA,NA,0,NA,0
"431",2020-10-24,"OH","A+",5206,4896,22,310,18006,18006,1355,140,3705,383,3953963,45518,NA,NA,NA,NA,200,195806,184528,2858,0,NA,NA,NA,NA,NA,157744,NA,0,4149769,48376,NA,NA,NA,NA,NA,0,4138491,48177
"432",2020-10-24,"OK","A+",1245,NA,11,NA,8360,8360,924,95,NA,305,1417024,19328,NA,NA,1417024,NA,NA,115685,115685,1829,0,4814,NA,NA,NA,127051,98700,NA,0,1532709,21157,87553,NA,NA,NA,NA,0,1546238,20677
"433",2020-10-24,"OR","A+",653,NA,4,NA,3034,3034,197,0,NA,53,779403,5550,NA,NA,779403,NA,21,41739,39261,391,0,NA,NA,NA,NA,NA,5870,NA,0,821142,5941,NA,NA,NA,NA,813114,0,NA,0
"434",2020-10-24,"PA","A+",8654,NA,29,NA,NA,NA,1087,0,NA,NA,2215057,14189,NA,NA,NA,NA,126,192622,184299,2043,0,NA,NA,NA,NA,NA,150245,NA,0,2407679,16232,NA,NA,NA,NA,2399356,16052,3795139,39038
"435",2020-10-24,"PR","B",794,604,3,190,NA,NA,395,0,NA,60,305972,0,NA,NA,303412,NA,43,31072,31072,116,0,30208,NA,NA,NA,7002,26866,NA,0,337044,116,NA,NA,NA,NA,NA,0,310546,0
"436",2020-10-24,"RI","A+",1183,NA,6,NA,3197,3197,163,71,NA,15,385492,2760,NA,NA,1012200,NA,9,30583,30583,465,0,NA,NA,NA,NA,41054,2647,1053254,18682,1053254,18682,NA,NA,NA,NA,416075,3225,NA,0
"437",2020-10-24,"SC","A+",3793,3560,16,233,10212,10212,743,51,NA,200,1509743,10791,69729,NA,1459763,NA,97,169341,161836,792,0,8480,15204,NA,NA,211816,86031,NA,0,1679084,11583,78209,97080,NA,NA,NA,0,1671579,11392
"438",2020-10-24,"SD","A",366,NA,10,NA,2378,2378,356,42,NA,NA,205539,1739,NA,NA,NA,NA,NA,38141,36962,939,0,NA,NA,NA,NA,NA,27557,NA,0,243680,2678,NA,NA,NA,NA,243680,2678,397274,5365
"439",2020-10-24,"TN","A+",3100,2944,24,156,9926,9926,1382,44,NA,403,3261053,24071,NA,NA,3213008,NA,162,244087,231171,2574,0,NA,12092,NA,NA,279216,216744,NA,0,3505140,26645,NA,89377,NA,NA,NA,0,3492224,26312
"440",2020-10-24,"TX","A",17456,NA,81,NA,NA,NA,4995,0,NA,1513,6852124,92110,NA,NA,NA,NA,NA,858071,858071,6499,0,44466,23437,NA,NA,NA,753611,NA,0,7710195,98609,465309,272102,NA,NA,NA,0,7710195,98609
"441",2020-10-24,"UT","A+",568,NA,1,NA,4997,4997,319,58,1062,110,889617,6989,NA,NA,1208374,417,NA,103117,103117,1608,0,NA,4248,NA,4055,109971,75776,NA,0,1318345,12974,NA,72847,NA,33663,989146,9187,1318345,12974
"442",2020-10-24,"VA","A+",3578,3328,39,250,20434,20434,979,16,NA,220,2328174,16117,NA,NA,NA,NA,117,172372,160843,1088,0,NA,NA,NA,NA,191459,19455,2489017,16956,2489017,16956,NA,NA,NA,NA,NA,0,NA,0
"443",2020-10-24,"VI","D",21,21,0,NA,NA,NA,NA,0,NA,NA,22089,0,NA,NA,NA,NA,NA,1346,NA,0,0,NA,NA,NA,NA,NA,1305,NA,0,23435,0,NA,NA,NA,NA,NA,0,23463,0
"444",2020-10-24,"VT","B",58,58,0,NA,NA,NA,4,0,NA,NA,182627,1700,NA,NA,NA,NA,NA,2043,2043,27,0,NA,NA,NA,NA,NA,1728,NA,0,381875,4878,NA,NA,NA,NA,184670,1727,381875,4878
"445",2020-10-24,"WA","B",2296,2296,7,NA,8231,8231,314,48,NA,NA,2217586,21836,NA,NA,NA,NA,48,101345,101345,820,0,NA,NA,NA,NA,NA,NA,2318931,22656,2318931,22656,NA,NA,NA,NA,NA,0,NA,0
"446",2020-10-24,"WI","A+",1803,1770,29,33,10237,10237,1237,199,1405,276,1757630,13558,NA,NA,NA,NA,NA,205139,194540,4673,0,NA,NA,NA,NA,NA,152928,3046677,41161,3046677,41161,NA,NA,NA,NA,1952170,17620,NA,0
"447",2020-10-24,"WV","B",422,418,0,4,NA,NA,209,0,NA,71,693978,5013,NA,NA,NA,NA,24,21712,20427,320,0,NA,NA,NA,NA,NA,16578,NA,0,715690,5333,18594,NA,NA,NA,NA,0,714405,5249
"448",2020-10-24,"WY","B",68,NA,0,NA,392,392,83,0,NA,NA,113686,0,NA,NA,247059,NA,NA,10805,9177,260,0,NA,NA,NA,NA,11751,7471,NA,0,258810,989,NA,NA,NA,NA,122604,0,258810,989
"449",2020-10-23,"AK","A",68,68,0,NA,415,415,59,14,NA,NA,540579,3789,NA,NA,540786,NA,7,12167,NA,248,0,NA,NA,NA,NA,11644,6915,NA,0,552746,4037,NA,NA,NA,NA,NA,0,552746,4037
"450",2020-10-23,"AL","A",2859,2674,16,185,19595,19595,888,147,2001,NA,1133858,8105,NA,NA,NA,1148,NA,180916,155915,3852,0,NA,NA,NA,NA,NA,74439,NA,0,1289773,9078,NA,NA,62498,NA,NA,0,1289773,9078
"451",2020-10-23,"AR","A+",1782,1626,10,156,6678,6678,610,152,NA,237,1170162,10920,NA,NA,1170162,807,92,104135,97339,1337,0,NA,3300,NA,7546,NA,93215,NA,0,1267501,11967,NA,21856,NA,44666,NA,0,1267501,11967
"452",2020-10-23,"AS","D",0,NA,0,NA,NA,NA,NA,0,NA,NA,1616,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1616,0,NA,NA,NA,NA,NA,0,1616,0
"453",2020-10-23,"AZ","A+",5865,5578,6,287,20967,20967,815,29,NA,172,1450981,11984,NA,NA,NA,NA,85,235882,230488,976,0,NA,NA,NA,NA,NA,39306,NA,0,1681469,12907,311920,NA,NA,NA,1681469,12907,NA,0
"454",2020-10-23,"CA","B",17262,NA,73,NA,NA,NA,3011,0,NA,754,16596428,118382,NA,NA,NA,NA,NA,886865,886865,6141,0,NA,NA,NA,NA,NA,NA,NA,0,17483293,124523,NA,NA,NA,NA,NA,0,17483293,124523
"455",2020-10-23,"CO","A",2076,NA,6,NA,8557,8557,550,79,NA,NA,1039329,9351,166491,NA,NA,NA,NA,91572,85080,1350,0,12741,NA,NA,NA,NA,7463,1790404,25756,1790404,25756,179232,NA,NA,NA,1124409,10610,NA,0
"456",2020-10-23,"CT","B",4577,3674,8,903,12257,12257,233,0,NA,NA,2049692,22802,NA,NA,NA,NA,NA,66052,63376,679,0,NA,NA,NA,NA,NA,9800,NA,0,2115744,23481,NA,NA,NA,NA,NA,0,2113068,23435
"457",2020-10-23,"DC","A+",642,NA,0,NA,NA,NA,91,0,NA,23,469144,6246,NA,NA,NA,NA,8,16609,NA,72,0,NA,NA,NA,NA,NA,13028,485753,6318,485753,6318,NA,NA,NA,NA,246627,1076,NA,0
"458",2020-10-23,"DE","A+",678,597,8,81,NA,NA,106,0,NA,25,311425,1894,NA,NA,NA,NA,NA,23687,22567,159,0,NA,NA,NA,NA,25862,12493,523154,2913,523154,2913,NA,NA,NA,NA,335112,2053,NA,0
"459",2020-10-23,"FL","A",16544,16544,74,NA,48510,48510,2114,190,NA,NA,5093972,40124,487730,475588,7484952,NA,NA,761924,734208,3618,0,51923,NA,50676,NA,992669,NA,9411692,92812,9411692,92812,539844,NA,526404,NA,5850390,43749,8522644,69522
"460",2020-10-23,"GA","A",7766,NA,37,NA,30949,30949,1741,120,5801,NA,3059864,37865,NA,NA,3081990,NA,NA,347759,347759,2224,0,28706,NA,NA,NA,325642,NA,NA,0,3407623,40089,323918,NA,NA,NA,NA,0,3407623,40089
"461",2020-10-23,"GU","A",69,NA,0,NA,NA,NA,77,0,NA,17,58765,534,NA,NA,NA,NA,6,4141,4121,85,0,6,19,NA,NA,NA,2503,NA,0,62906,619,203,290,NA,NA,NA,0,62614,616
"462",2020-10-23,"HI","B",206,NA,3,NA,1045,1045,75,12,NA,18,295153,0,NA,NA,NA,NA,13,14529,14335,102,0,NA,NA,NA,NA,14282,11232,491450,4139,491450,4139,NA,NA,NA,NA,308090,0,NA,0
"463",2020-10-23,"IA","A+",1620,NA,19,NA,NA,NA,536,0,NA,134,746075,3430,NA,61512,NA,NA,49,106874,106874,1249,0,NA,NA,3748,6043,NA,86630,NA,0,852949,4679,NA,NA,65299,71282,854599,4674,NA,0
